date;name;pay
2016-02-02;Shell Wallis;160.55
2018-10-06;Lila Lail;-1927.45
2018-01-17;Lita Zamora;937.98
2017-11-19;Beverley Hachmin;-1718.62
2017-09-06;Daune Louanna;1893.36
2019-09-07;Camile Edvard;-995.32
2015-07-07;Dulce Zenas;1114.69
2019-09-19;Ilse Catie;1254.16
2018-01-10;Clary Milde;812.79
2019-07-14;Odessa Vins;-431.63
2015-04-27;Genovera Mehalek;-1434.3
2019-11-01;Etta Francene;-124.55
2018-04-03;Joleen Pattin;-1592.82
2019-07-03;Jenda Salvidor;-1400.48
2018-07-18;Aili Pond;-1928.59
2015-08-30;Mignon McNully;-923.34
2018-10-25;Mariele Ellord;-1610.17
2016-12-14;Hannis Haymes;1510.19
2017-04-09;Janenna Thomasina;1739.18
2018-03-22;Jemie Pip;-1178.62
2017-12-21;Leeanne Euridice;1131.11
2017-02-17;Clementine Peg;-257.11
2017-07-12;Shauna Vernier;-1099.99
2017-03-23;Shell Atcliffe;-1916.79
2019-02-14;Georgetta Ackerley;1300.03
2018-03-03;Vere Turne;-866.05
2015-08-25;Britte Valoniah;319.39
2015-11-30;Clementine Jerold;1275.36
2019-09-16;Chickie Sikorski;-787.02
2016-08-26;Kayla Hedve;-429.71
2017-02-12;Gusty Ashok;-1119.69
2016-10-10;Larine Wind;-801.38
2017-02-01;Maurene Lia;1392.24
2017-04-18;Tressa Dituri;-1848.63
2017-05-13;Barbi Fink;-1388.4
2019-09-09;Shaylyn Hartnett;1164.53
2018-07-10;Barbi Shuler;-25.37
2015-06-15;Valeda Brackely;96.29
2019-04-27;Dotty Dichy;-1969.24
2016-07-08;Layla Janene;937.55
2016-03-06;Charissa Stefa;835.97
2015-01-31;Jsandye Paine;-246.78
2017-07-06;Janey Socha;314.09
2016-04-01;Mellicent Dearborn;-1524.48
2016-12-28;Tiffie Sidonius;1251.75
2016-02-26;Vevay Hachmin;1886.18
2017-10-20;Mady Virgin;-690.98
2018-09-20;Debee Lucienne;308.56
2017-01-28;Sara-Ann Auberbach;-1753.73
2017-06-05;Phylis Faria;-699.64
2018-09-29;Maryellen Yam;-257.41
2015-03-07;Roseline Tannie;-952.24
2018-05-17;Gratia Truc;-136.32
2015-02-03;Margette Pond;1537.01
2016-10-31;Quintina Han;-1568.54
2017-08-18;Priscilla Even;1567.58
2019-10-09;Malina Mandler;470.96
2018-12-01;Rhoda Haerr;1004.22
2015-09-01;Morganica Berriman;-99.8
2016-05-09;Jaime Swigart;-1534.17
2017-09-07;Xylina Adalbert;-1576.33
2016-10-09;Kamilah Libna;-1478.18
2015-09-03;Magdalena Eckblad;255.34
2017-11-24;Florie Christine;-1711.58
2017-03-12;Nyssa Eliathas;505.83
2017-03-14;Melanie Schwejda;1622.68
2017-08-24;Flory Liva;1028.38
2018-11-10;Marline Pozzy;1488.51
2016-08-23;Abbie Neva;-1592.62
2019-09-16;Suzette Yate;898.35
2019-08-18;Shell Rosalba;1845.57
2019-10-14;Marjie Craggie;-883.62
2017-09-15;Emelina Dorcy;905.98
2016-02-17;Kittie Zaslow;-1196.61
2019-08-26;Brynna Christal;1364.56
2017-07-29;Sonni Evvie;-1497.98
2019-12-29;Selma Jary;-1303.26
2017-11-19;Dari Vale;-276.87
2017-10-29;Alyda Burnside;-212.7
2018-03-06;Tarra Raseda;-1830.91
2018-05-26;Katuscha Connelly;82.8
2015-01-03;Kirstin Radu;1176.57
2016-04-05;Jacquetta Lunsford;-946.26
2019-04-30;Mamie Cynar;-1140.32
2019-02-26;Dorothy Selway;646.04
2018-02-19;Eugine Cutlerr;738.05
2018-04-29;Teriann Tremayne;1441.94
2017-05-15;Lynde Muriel;461.63
2018-08-28;Tonia Jerald;1305.24
2016-09-10;Bettine Fiann;172.37
2019-02-04;Bee Linskey;-496.17
2015-04-18;Darci Dahlia;520.29
2018-03-26;Dede Nicoline;592.34
2017-09-02;Randa Forrer;450.86
2019-03-15;Eolanda Cristi;1270.18
2016-12-21;Jessy Garlinda;412.41
2018-10-19;Wanda Grobe;486.35
2015-10-20;Bobinette Elvyn;1113.28
2016-01-01;Fawne Flita;-1475.01
2015-12-10;Donnie Olnee;196.06
2017-09-07;Dacia Moina;-74.31
2017-02-06;Jessamyn Abbot;-980.76
2019-04-30;Yolane Ricarda;479.81
2015-09-28;Binny Dalli;-1096.3
2015-04-13;Corene Halla;-830.57
2019-05-31;Lulita Tayib;-1730.48
2017-02-22;Mady Raimondo;-1692.4
2015-03-11;Gavrielle Ivens;-387.1
2015-03-15;Mariele Krystle;1806.31
2017-11-14;Jacenta Vittoria;1294.58
2016-05-13;Jany Bettine;-370.29
2018-12-02;Rosene Ahab;-535.64
2015-12-12;Gisela Himelman;-1053.86
2017-03-21;June Idelia;-401.19
2016-03-29;Tracey Stuart;745.78
2015-12-12;Dania Raimondo;1859.11
2015-11-10;Jemie Hoenack;-1725.35
2017-08-08;Nariko Lay;-1668.52
2017-12-12;Sara-Ann Kermit;1064.35
2019-03-21;Cristabel Schlosser;523.81
2018-08-03;Dotty Anton;-909.55
2017-12-12;Jackie Trey;713.69
2016-04-23;Kassey Orlene;-707.13
2017-03-23;Marjie Scammon;-1279.78
2017-02-23;Norine Sandye;-130.75
2018-06-25;Liana Yorick;365.72
2019-12-30;Gretal Buckler;259.21
2015-04-08;Elora Darrell;84.6
2018-09-19;Sophia Felizio;1612.0
2017-09-28;Veda Angelis;698.47
2016-08-12;Dione Tamar;6.83
2018-09-22;Gusella Berl;-1271.51
2015-12-08;Ekaterina Cullin;-1624.52
2017-05-26;Addia Carlson;-641.12
2019-02-21;Emma Lewes;308.75
2015-04-15;Corly Callista;-1898.43
2017-08-27;Merle Stoller;-1961.48
2015-09-13;Leona Suzetta;-1294.83
2015-12-06;Modestia Cressida;-1732.07
2017-06-20;Corly Gregrory;768.58
2019-07-24;Asia Barbey;662.32
2018-11-09;Dale Ralfston;-476.37
2018-10-03;Marylou Kellby;-105.11
2019-10-20;Albertina Darbie;-1973.75
2017-01-24;Nannie Sothena;-1360.96
2016-10-25;Sara-Ann Konyn;-282.68
2017-11-21;Modestia Nikaniki;-1549.91
2019-11-27;Wynne Frendel;-1224.27
2015-06-30;Renae Belldas;-1752.51
2016-09-14;Genovera Alcott;-1519.92
2016-04-01;Elyssa Peti;281.72
2015-01-24;Bernardine Selway;516.77
2016-09-22;Kimberley Robertson;583.47
2018-03-31;Sashenka Frodi;-749.05
2018-10-05;Larine Lesley;1253.27
2019-12-08;Vanessa Lesley;1454.79
2017-11-05;Morganica Sophronia;868.37
2017-02-26;Lanna Ajay;755.76
2015-01-09;Fidelia Gamaliel;346.58
2016-05-13;Wynne Jacinda;-1018.56
2015-04-19;Regina Oneida;567.24
2015-04-03;Gisela Hoenack;285.55
2016-07-20;Caritta Shaver;468.35
2015-01-09;Anestassia Stacy;-1255.46
2015-05-01;Ariela Loring;-764.72
2018-02-28;Jere Fleeta;-789.56
2019-06-03;Averyl Ludewig;-294.21
2015-06-20;Dania Docilla;-1998.88
2019-11-17;Dagmar Mintz;-326.44
2015-06-04;Winifred Tamsky;-1966.5
2016-11-04;Mildrid Ries;-2.23
2017-09-08;Vanessa Bollay;989.55
2018-01-08;Kimmy LaRue;-433.36
2016-05-16;Pearline Baylor;495.38
2019-08-01;Ida Regan;-39.78
2016-07-27;Ethel Marcellus;-1998.57
2018-02-03;Merci Zola;-1842.61
2015-03-04;Charmaine Marisa;-1668.26
2018-12-31;Maud Egbert;-1603.76
2016-12-22;Mahalia Hollingsworth;-952.1
2019-12-12;Rayna Khorma;269.22
2015-12-05;Tierney Evvie;-853.07
2016-08-15;Atlanta Yorick;-173.22
2016-08-11;Jsandye Hailee;779.58
2018-07-19;Tracey Telfer;1342.41
2016-10-02;Karlee Ophelia;-828.77
2015-04-24;Roberta Sasnett;-637.62
2017-01-09;Sonni Rosemary;1266.64
2017-12-20;Tomasina Fontana;1533.74
2015-08-14;Britte Barbey;1356.49
2018-07-12;Deirdre Scammon;1822.97
2017-04-08;Noelle Marisa;1592.28
2019-10-18;Estell Laurianne;-412.06
2016-02-12;Elmira Hutchison;193.02
2019-03-01;Madeleine Sheedy;-1237.75
2016-01-13;Rhoda Amasa;1409.57
2016-06-02;Ariela Chinua;-675.65
2018-06-07;Belinda Bivins;-1694.44
2015-01-23;Vivia Wooster;1264.19
2019-03-22;Kimberley Arathorn;1944.01
